time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-04-14T03:45:58.966Z,32.0636,50.0818,10,4.5,mb,49,62,7.64,0.7,us,us6000k48e,2023-04-14T04:10:53.040Z,"50 km WSW of F?rs?n, Iran",earthquake,3.4,1.869,0.081,45,reviewed,us,us
2023-04-07T23:38:12.647Z,28.1032,56.9952,10,4.1,mb,55,51,3.224,0.49,us,us6000k43x,2023-04-16T03:29:38.040Z,"108 km N of M?n?b, Iran",earthquake,4.98,1.882,0.088,35,reviewed,us,us
2023-04-04T14:53:08.017Z,28.2978,56.9272,10,4,mb,25,144,3.401,0.94,us,us6000k1xv,2023-04-04T16:27:10.040Z,"109 km S of K?h Sef?d, Iran",earthquake,13.03,1.95,0.126,17,reviewed,us,us
2023-04-03T03:55:02.834Z,28.0114,56.915,10,4.3,mb,50,108,3.119,0.43,us,us6000k1n3,2023-04-03T04:15:26.040Z,"",earthquake,10.57,1.906,0.086,38,reviewed,us,us
2023-04-02T07:55:27.919Z,27.1929,52.9741,10,4.4,mb,40,86,3.667,0.56,us,us6000k1gg,2023-04-02T08:20:38.040Z,"",earthquake,8.41,1.898,0.095,32,reviewed,us,us
2023-04-01T19:56:24.132Z,27.9319,54.3847,10,4.1,mb,22,57,3.392,0.83,us,us6000k1ec,2023-04-01T21:16:27.040Z,"38 km NE of Ger?sh, Iran",earthquake,9.76,1.896,0.165,10,reviewed,us,us
2023-04-01T19:43:06.692Z,27.3091,52.9937,10,4,mb,17,114,3.724,0.73,us,us6000k2de,2023-04-07T00:24:52.040Z,"29 km SSE of Mohr, Iran",earthquake,12.79,1.952,0.197,7,reviewed,us,us
2023-04-01T15:57:39.935Z,27.3325,53.0705,19.044,5.1,mb,38,79,3.686,0.58,us,us6000k1d6,2023-04-01T22:46:24.367Z,"30 km SE of Mohr, Iran",earthquake,8.22,4.609,0.064,79,reviewed,us,us
2023-03-29T14:08:52.613Z,37.2236,58.2827,10,4.3,mb,67,98,7.435,0.57,us,us6000k0k1,2023-04-04T09:27:50.040Z,"24 km WNW of Q?ch?n, Iran",earthquake,7.49,1.907,0.093,33,reviewed,us,us
2023-03-28T17:05:56.574Z,30.2842,51.7982,10,4.5,mb,90,61,6.599,0.86,us,us6000k0e3,2023-03-29T15:40:51.040Z,"32 km NE of N?r?b?d, Iran",earthquake,6.04,1.788,0.064,72,reviewed,us,us
